entity,type,key,tailscale_capable,native_streaming,can_stream,apple_icloud,lan_only,confidence,source,notes
Mac,host,mac,true,,,,,high,"bibliofuse_iosv2/docs/features/mac-remote-streaming.md; lan-tailscale-https-routing-and-pairing-plan.md","MacStreamingServer (hand-rolled on Network.framework), StreamTLSCertificate for TLS identity. Bonjour LAN primary + Tailscale 100.x on the same port 7342 (IPv4-only listener, dual-stack silently unreachable over Tailscale utun -- fixed in current code)."
Windows PC,host,windows,true,,,,,high,"bibliofuse-windows/docs/features/streaming-to-ios.md","Two discovery paths: (1) LAN mDNS via BonjourAdvertiser, v2 pinned-HTTPS contract matching Mac; (2) iCloud Drive file relay (ICloudEndpointWriter) -- writes an active entry (incl. Tailscale address) only when both a Tailscale address AND a cert pin exist, else an inactive sentinel. Requires iCloud for Windows installed for path 2; LAN-only clients pair without it."
Synology NAS (SPK),host,synology,true,pending,,,,high,"bibliofuse-nas/docs/synology-package.md; bibliofuse-nas-distribution README + v0.1.3 release notes","Generic x86_64 release-candidate .spk exists locally (deploy/synology-spk/build-spk.sh output) but v0.1.3 release notes say native-client checks (local Wi-Fi + Tailscale) remain open release gates as of 2026-07-19. Zero-config folder picker -- no path typing, no library duplication."
Docker / other NAS,host,docker,false,unsupported,,,,high,"bibliofuse-nas-distribution README (""Product status"" table)","""Released iOS / visionOS apps with Docker: Not supported yet."" Free server + free browser reader (port 7343) both work today; no native-app connection flow exists yet, not even Local Wi-Fi. tailscale_capable=false because the README lists no Tailscale mode for Docker (Synology has one; Docker doesn't)."
iPhone / iPad,client,iphone_ipad,,,true,true,false,high,"bibliofuse_iosv2/docs/features/mac-remote-streaming.md; private-remote-streaming-article-notes.md","Primary documented client. iCloud + Tailscale (automatic, endpoint discovered via iCloud Drive relay file) or manual/local Wi-Fi."
Mac,client,mac_client,,,unverified,unverified,false,unverified,"No source doc found describing Mac as a stream client (only as host)","Picker currently assumes Mac can also be a client (CLIENTS.mac). Confirm before keeping -- may be the same class of error as the removed iPhone-as-host entry."
Windows PC,client,windows_client,,,unverified,false,false,unverified,"No source doc found describing Windows as a stream client (only as host)","Picker currently assumes Windows can also be a client (CLIENTS.windows, apple_icloud=false so it would use Manual Tailscale). Confirm before keeping."
Apple Vision Pro,client,visionpro,,,true,true,false,high,"bibliofuse_iosv2/docs/visionos-port-plan.md; docs/features/mac-remote-streaming.md","Reuses iOS's iCloud/Bonjour/manual discovery, provider, and cert-pinning code directly; same CloudDocuments entitlement."
Apple TV,client,appletv,,,true,false,true,high,"bibliofuse_iosv2/docs/tvos-streaming-reader-go-no-go-port-plan.md; docs/features/mac-remote-streaming.md","LAN-HTTPS-only by design. No iCloud Documents entitlement (physical signing test). Tailscale path built, tested, shipped disabled pending upstream tailscale/tailscale client bugs (#9736, #13991, #12139, #11663)."
Android phone,client,androidphone,,,false,,false,low,"User's own stated roadmap intent (this conversation, 2026-07-20); bibliofuse-flutter/docs/index.md marks the app ""Legacy / frozen""","No streaming client exists today. No source doc found describing an active plan to add one -- confirm ""coming soon"" is still accurate."
Android TV,client,androidtv,,,false,,,high,"bibliofuse_iosv2/docs/lan-tailscale-https-routing-and-pairing-plan.md; android-tv-full-port-plan.md","Full-port plan exists (would mirror current tvOS app incl. its LAN-only constraint) but implementation ""has not started in this repository."""
